COD_ELEMENTO;IDE_EVENTO;MANIOBRA;IDE_CODIGO_CLASE;NOM_CODIGO;ANIO;MES;DIA;DUR_H;PROM_H;NUM_APERTURAS
CIRQ0142;1196406;560841;Interrupciones No Programadas no Excluibles;APERTURA POR LINEA PRIMARIA ROTA;2023;2;13;19.674;19.674;1
MORN0714;1200491;588603;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;3;27;14.059;14.059;1
CORQ0060;1203283;607350;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;4;22;7.419;7.419;1
SARQ0176;1204962;610688;Interrupciones Programadas no Excluibles;APERTURA POR EXTENSION Y/O RECTIFICACION EN REDES;2023;5;19;7.288;7.288;1
R-120;1209401;622621;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;7;7;0.015;0.015;1
R-071;1210078;626467;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;7;19;0.004;0.004;1
R-059;1210125;626537;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;7;19;0.001;0.001;1
S-2504;1211208;628432;Interrupciones No Programadas no Excluibles;APERTURA POR ARBOL O RAMA SOBRE LINEAS;2023;7;25;0.895;0.895;1
S-744;1212692;634611;Interrupciones Programadas no Excluibles;APERTURA PARA REALIZAR TRABAJOS DE PODA DE ARBOLES;2023;8;22;1.885;1.885;1
R-116;1214577;642678;Interrupciones No Programadas no Excluibles;APERTURA POR CAUSA DESCONOCIDA - ENSAYO AUTOMATICO;2023;9;6;0.001;0.001;1
R-072;1215016;643205;Interrupciones No Programadas no Excluibles;APERTURA POR ARBOL O RAMA SOBRE LINEAS;2023;9;10;1.711;0.96;1
BURQ0065;1218691;648396;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;10;13;39.501;39.501;1
304-24;1222182;653383;Interrupciones No Programadas no Excluibles;APERTURA POR FALLA DE LINEA DE SUBTRANSMISION DE DISTRIBUCIÓN;2023;11;25;0.09;0.09;1
BAUQ0034;1197001;561609;Catástrofes Naturales;APERTURA POR FUERZA MAYOR;2023;2;20;4.658;4.658;1
R-026;1197575;564721;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;2;28;0.001;0.001;1
113-23;1207999;614515;Interrupciones No Programadas no Excluibles;APERTURA POR FALLA DEL TRASNFORMADOR DE POTENCIA Y EQUIPOS ASOCIADOS.;2023;6;20;0.021;0.021;1
112-22;1213156;641591;Interrupciones Programadas no Excluibles;APERTURA POR MANTENIMIENTO DE TRANSFORMADORES DE POTENCIA Y EQUIPOS ASOCIADOS.;2023;8;27;0.002;0.002;1
PIRQ0109;1214544;642850;Interrupciones No Programadas no Excluibles;APERTURA POR ROBO DE INFRAESTRUCTURA;2023;9;6;34.836;34.836;1
C-0332;1215471;644693;Interrupciones Programadas no Excluibles;APERTURA POR EXTENSION Y/O RECTIFICACION EN REDES;2023;9;22;0.042;0.042;1
CIRQ0267;1216867;645668;Interrupciones No Programadas no Excluibles;APERTURA POR ARBOL O RAMA SOBRE LINEAS;2023;9;29;6.193;6.193;1
R-154;1223218;665611;Interrupciones No Programadas no Excluibles;APERTURA POR FALLA DEL TRASNFORMADOR DE POTENCIA Y EQUIPOS ASOCIADOS.;2023;12;13;0.001;0.001;1
QURQ0168;1195996;555967;Interrupciones No Programadas no Excluibles;APERTURA POR ARBOL O RAMA SOBRE LINEAS;2023;2;8;1.083;1.083;1
R-033;1198492;568245;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;3;8;0.001;0.001;1
CARP0255;1201366;594382;Falla de un Activo de Nivel 1 de propiedad de los Usuarios;FALLA ACTIVO NIVEL 1 PROPIEDAD PARTICULAR;2023;4;3;25;25;1
QURQ0228;1202549;605958;Interrupciones No Programadas no Excluibles;APERTURA POR ANIMALES SOBRE LINEAS;2023;4;12;1.466;1.466;1
C-0176;1202635;607160;Interrupciones Programadas no Excluibles;APERTURA POR EXTENSION Y/O RECTIFICACION EN REDES;2023;4;20;1.173;1.173;1
R-122;1203477;607603;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;4;25;1.63;1.528;1
TERP0098;1203655;607892;Falla de un Activo de Nivel 1 de propiedad de los Usuarios;FALLA ACTIVO NIVEL 1 PROPIEDAD PARTICULAR;2023;4;25;19.521;19.521;1
R-071;1211731;629282;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;8;1;0.384;0.384;1
FIRQ0078;1212796;633686;Interrupciones No Programadas no Excluibles;APERTURA POR FALLA EN RED SECUNDARIA;2023;8;14;1.853;1.853;1
QURP0596;1212529;634100;Interrupciones Programadas no Excluibles;APERTURA POR TRABAJOS DE PÉRDIDAS;2023;8;17;0.35;0.35;1
R-071;1213998;641908;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;8;29;0.001;0.001;1
QURP0323;1214572;642934;Falla de un Activo de Nivel 1 de propiedad de los Usuarios;FALLA ACTIVO NIVEL 1 PROPIEDAD PARTICULAR;2023;9;8;1.602;1.602;1
R-120;1216320;644949;Interrupciones No Programadas no Excluibles;APERTURA POR CAUSA DESCONOCIDA - ENSAYO AUTOMATICO;2023;9;24;0.001;0.001;1
304-22;1222857;658031;Interrupciones No Programadas no Excluibles;APERTURA POR FALLA DE LINEA DE SUBTRANSMISION DE DISTRIBUCIÓN;2023;12;6;0.008;0.008;1
GERQ0299;1223392;665995;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;12;16;32.692;32.692;1
206-25;1199361;583799;Interrupciones No Programadas no Excluibles;APERTURA POR FALLA DE LINEA DE SUBTRANSMISION DE DISTRIBUCIÓN;2023;3;18;0.015;0.015;1
R-009;1199611;584041;Interrupciones No Programadas no Excluibles;APERTURA POR CONDICIONES ATMOSFERICAS;2023;3;20;0.011;0.011;1
