FID;CODIGO;FASES;COOR_GPS_LON;COOR_GPS_LAT;CAPACIDAD_NOMINAL;MUNICIPIO;CIRCUITO;UBICACION;PROPIETARIO_1;TIPO
39555800;S-2356;RST;-75,80402253;4,61745864;100;QUIMBAYA;304-27-;FCA EL SALMAN VDA KERMAN- QUIMBAYA - KERMAN - QUIM;EDEQ;S
37112081;S-614;RST;-75,62942428;4,657904255;100;CIRCASIA;307-24-;VR LA CONCHA GRANJA PORCICOLA MEMBRILLAL;EDEQ;S
39656198;S-287;RST;-75,65002473;4,520191324;200;CALARCÁ;208-25-;BA VERACRUZ MZ B CS 19;EDEQ;S
40026748;S-1136;RST;-75,76184431;4,560879158;200;MONTENEGRO;303-23-;VR BARAYA FC HERMITA;EDEQ;S
39400438;S-2395;RST;-75,6978453;4,517797233;200;ARMENIA;110-25-;FRENTE A URB. LA VILLA;EDEQ;S
39597788;S-2383;RST;-75,64111632;4,469024324;100;CALARCÁ;205-24-;VDA LA PALOMA FCA EL JAZMIN;EDEQ;S
39282094;S-1975;RST;-75,84381525;4,537970929;100;MONTENEGRO;303-23-;VR EL CUZCO FC EL CENTAVO;EDEQ;S
43318315;S-2012;RST;-75,81128167;4,481643271;100;MONTENEGRO;101-26-;VR EL PRADO FC EL PRADO;EDEQ;S
46191480;S-2420;RT;-75,82265964;4,512342602;100;MONTENEGRO;111-24-;;PARTICULAR;S
39453526;S-1066;RST;-75,68536207;4,388567632;100;CÓRDOBA;206-22-;CL 15 11 45;EDEQ;S
43231820;S-2367;RST;-75,66677486;4,546209447;100;ARMENIA;113-23-;FTE ROMPOY BOMBEROS CRA 19;EDEQ;S
46386799;S-2444;RST;-75,70651499;4,542138678;100;ARMENIA;114-23-;;PARTICULAR;S
37170003;S-2331;RST;-75,63300833;4,611875;100;CIRCASIA;307-23-;VIA A CIRCASIA AURORA BOREAL;EDEQ;S
