FID;G3E_FNO;X_INICIAL;Y_INICIAL;X_FINAL;Y_FINAL
37112533;19000;-75,74564252;4,336414495;-75,74440906;4,336700629
37112535;19000;-75,74440906;4,336700629;-75,74336111;4,337361111
37112536;19000;-75,74336111;4,337361111;-75,74275;4,33775
37112003;19000;-75,75652418;4,619073337;-75,75830626;4,61675133
37112540;19000;-75,74275;4,33775;-75,74273842;4,337735789
39882517;19000;-75,7905572;4,179053704;-75,79057342;4,179065183
40224835;19000;-75,64222234;4,471387595;-75,64218624;4,471377131
46248352;19000;-75,75874681;4,470954233;-75,75876932;4,470954288
31061023;19000;-75,77884102;4,462542566;-75,7788289;4,46255156
39448399;19000;-75,69744346;4,480668205;-75,69688986;4,479558775
39648568;19000;-75,63756944;4,52045;-75,63739784;4,520598638
39648580;19000;-75,6374;4,520597222;-75,63726944;4,520830556
39648662;19000;-75,63726944;4,520830556;-75,63725214;4,520839255
39631256;19000;-75,72937729;4,497914934;-75,72866948;4,498272532
39631258;19000;-75,72866948;4,498272533;-75,72808058;4,498587157
39631270;19000;-75,72744515;4,498819925;-75,72664981;4,499261435
39631273;19000;-75,72664981;4,499261435;-75,72556242;4,499801846
39631283;19000;-75,72556242;4,499801844;-75,72519275;4,499982871
39631285;19000;-75,72519274;4,499982873;-75,72452285;4,500294429
39340151;19000;-75,79915033;4,50115853;-75,79992154;4,501112877
31327044;19000;-75,71157412;4,613112782;-75,71234444;4,612408334
30635067;19000;-75,71632058;4,462895628;-75,71631705;4,463033643
37112078;19000;-75,62607663;4,659735413;-75,62608492;4,659753468
40003921;19000;-75,72198141;4,65126937;-75,72268191;4,651057365
40003951;19000;-75,72268191;4,651057365;-75,7234529;4,650262378
39706964;19000;-75,74331452;4,522229383;-75,74266667;4,52025
39707040;19000;-75,76551253;4,529262226;-75,76463491;4,530355463
39707041;19000;-75,76463491;4,530355463;-75,76407762;4,531151842
39707042;19000;-75,76407762;4,531151842;-75,7635;4,532
39707043;19000;-75,7635;4,532;-75,76307783;4,532544102
39706966;19000;-75,74266667;4,52025;-75,74408333;4,5195
39707015;19000;-75,75144528;4,526611111;-75,75227778;4,526666667
39646642;19000;-75,6364735;4,523945206;-75,6363845;4,524055745
39644141;19000;-75,68567083;4,479283366;-75,68562513;4,479255624
39886078;19000;-75,72433057;4,562805371;-75,72386258;4,561833123
39475920;19000;-75,70565003;4,405635066;-75,70483351;4,406386632
39596372;19000;-75,642824;4,567285092;-75,6435963;4,566649339
30827121;19000;-75,64260713;4,572980981;-75,64260713;4,572980981
30827181;19000;-75,64258911;4,572980944;-75,64258911;4,572980944
39296850;19000;-75,75465722;4,542708333;-75,75463139;4,542991944
37190035;19000;-75,68507895;4,480319882;-75,68566988;4,479279391
37190039;19000;-75,68426778;4,481549167;-75,68507897;4,480319894
46204519;19000;-75,69513241;4,523804073;-75,69518528;4,523760168
46204527;19000;-75,69518528;4,523760168;-75,69531013;4,523809884
30730658;19000;-75,6586316;4,543008076;-75,6586496;4,543017152
39406794;19000;-75,70772235;4,50903494;-75,70755328;4,508886355
40273680;19000;-75,6735;4,383722222;-75,67316667;4,383416667
40273706;19000;-75,67316667;4,383416667;-75,67275;4,382833333
39882530;19000;-75,65695586;4,554547485;-75,65678597;4,554598487
39882537;19000;-75,65678597;4,554598487;-75,6567625;4,554616955
39977175;19000;-75,63726944;4,520830557;-75,63725023;4,521516364
39977189;19000;-75,63725023;4,521516364;-75,63712656;4,522056183
39951007;19000;-75,78583333;4,418694444;-75,78705556;4,418666667
39546810;19000;-75,67759038;4,540070964;-75,67771225;4,539938307
39546814;19000;-75,67771225;4,539938307;-75,67813371;4,539548581
30797768;19000;-75,67190782;4,540503733;-75,67195172;4,540555715
40026416;19000;-75,66114782;4,538794795;-75,66145104;4,538482416
40026428;19000;-75,66145104;4,538482416;-75,66173842;4,538658552
40026435;19000;-75,66173842;4,538658552;-75,66230237;4,538992285
40026441;19000;-75,66230237;4,538992285;-75,66243215;4,538899581
40100114;19000;-75,7160128;4,517005745;-75,71634528;4,517132586
31305708;19000;-75,66286125;4,438777087;-75,66331747;4,439228238
39590431;19000;-75,68619468;4,53618396;-75,6862198;4,536178867
39543445;19000;-75,7025515;4,522440382;-75,70288624;4,522639912
43129042;19000;-75,77938662;4,432222123;-75,77999932;4,43147216
43129059;19000;-75,77999932;4,43147216;-75,78072223;4,430804657
39285565;19000;-75,85398976;4,470716014;-75,85435273;4,471368716
39285601;19000;-75,85435273;4,471368716;-75,85502443;4,472576595
43167667;19000;-75,67402804;4,565746033;-75,67274444;4,566247222
31475797;19000;-75,64025509;4,615763686;-75,64090898;4,615363662
31475874;19000;-75,64090898;4,615363662;-75,6409255;4,615105827
39900676;19000;-75,75130556;4,572694444;-75,752;4,572416667
37186486;19000;-75,76594117;4,485765226;-75,76666238;4,487069955
30751980;19000;-75,71123006;4,506222715;-75,71123329;4,506462284
30751712;19000;-75,71065907;4,506623949;-75,71123004;4,506222721
30751972;19000;-75,71123004;4,506222721;-75,71159003;4,505925061
39452511;19000;-75,84710836;4,46799303;-75,84707117;4,467604202
40003859;19000;-75,71971946;4,651719574;-75,72198141;4,651269373
40003884;19000;-75,71904111;4,651895618;-75,71971946;4,651719574
39811544;19000;-75,81448293;4,483906353;-75,81455305;4,485035691
39826925;19000;-75,6042125;4,622120278;-75,60446583;4,622480556
39706013;19000;-75,80455556;4,20430556;-75,80458312;4,204778059
39694204;19000;-75,73261111;4,447472222;-75,73259519;4,447485264
39804247;19000;-75,73266667;4,43286111;-75,73363889;4,43230556
39452519;19000;-75,84707117;4,467604202;-75,8468886;4,465760473
39752465;19000;-75,72755556;4,201944444;-75,72754256;4,201959599
39752351;19000;-75,73267845;4,197843639;-75,72755556;4,201944444
39979417;19000;-75,70515275;4,540642072;-75,70444859;4,541050319
39946840;19000;-75,55763009;4,639887774;-75,55759876;4,639915653
39601218;19000;-75,57726814;4,449924732;-75,5770889;4,448151607
39601220;19000;-75,5770889;4,448151607;-75,57702352;4,447082037
39601223;19000;-75,57702352;4,447082037;-75,57709737;4,445751494
39601225;19000;-75,57709737;4,445751494;-75,57646031;4,443218975
39601271;19000;-75,75478889;4,625519444;-75,75450382;4,625568759
39601217;19000;-75,57727207;4,450208593;-75,57726814;4,449924732
39736228;19000;-75,69311111;4,678083333;-75,69309724;4,678098817
39738231;19000;-75,61382728;4,584640671;-75,61488263;4,583361722
46412642;19000;-75,71711987;4,601228591;-75,71583098;4,601509992
39988731;19000;-75,63336949;4,620715648;-75,63335876;4,620736552
39988732;19000;-75,63336949;4,620715648;-75,63337753;4,620696744
39811516;19000;-75,81448293;4,483906355;-75,81446725;4,483919004
31334820;19000;-75,63882438;4,503109323;-75,63881493;4,503079373
31334827;19000;-75,63881989;4,503086659;-75,63904357;4,503269032
37136932;19000;-75,74772387;4,344309924;-75,747292;4,344717118
39286515;19000;-75,84946684;4,466306321;-75,85044994;4,462884118
39952130;19000;-75,75747651;4,468071139;-75,75739531;4,468194758
39952125;19000;-75,75740438;4,468028519;-75,75747651;4,468071139
39952134;19000;-75,75739531;4,468194758;-75,7575436;4,468385786
40007711;19000;-75,68015597;4,536119946;-75,68013973;4,536117806
30746035;19000;-75,73109046;4,522885652;-75,73109046;4,522885652
43256011;19000;-75,66323127;4,532901868;-75,66292728;4,532521358
30808648;19000;-75,69834379;4,527597199;-75,69869552;4,527387228
39816586;19000;-75,74241333;4,362063056;-75,74240775;4,362043513
