FID;CODIGO;CAPACIDAD_NOMINAL;FASES;COOR_GPS_LON;COOR_GPS_LAT;MUNICIPIO;UBICACION;CIRCUITO;PROPIETARIO_1;EQUIPO_PADRE;FID_EQUIPO_PADRE
31154705;CORQ0003;25;RT;-75,69333041;4,389501931;CÓRDOBA;VR SIBERIA BAJA FC LA PRIMAVERA;206-22-;EDEQ;S-2149;46410832
37111946;CARN0799;5;ST;-75,71443733;4,452204937;CALARCÁ;FCA RIVERWALK VDA ALBANIA;205-23-;EDEQ;C-0336;30852196
37111970;ARRP0799;15;RST;-75,74749573;4,502555194;ARMENIA;VR PTO ESPEJO FC LA UNION;111-24-;EDEQ;S-1335;30748728
37111986;ARRP0778;15;RS;-75,73709079;4,493634907;ARMENIA;VR MURILLO FC HOTEL ACAWA;101-23-;EDEQ;S-1486;31058776
37112541;BURN0209;5;ST;-75,74274997;4,337749956;BUENAVISTA;VDA LOS JUANES FCA EL ZAPOTE;206-24-;EDEQ;S-1389;31006771
39287931;PIRQ0131;5;RT;-75,73034647;4,327635914;PIJAO;VR ARENALES FC LOS CHIVOS;206-24-;EDEQ;S-1209;31006825
39850391;GERQ0012;15;RST;-75,77517062;4,288057923;GÉNOVA;VR LA TOPACIA FC LA PRIMAVERA;206-24-;EDEQ;S-852;31006775
31451021;ARUN2632;112,5;RST;-75,71289776;4,517962967;ARMENIA;CALLE 50#51-41 PUERTO ESPEJO;111-25-;EDEQ;C-0181;30755287
40224905;CARN0851;10;RT;-75,64221973;4,47138341;CALARCÁ;FCA NAPOLES VDA LA PALOMA;205-24-;EDEQ;S-2383;39597788
46248308;ARRN0922;45;RTS;-75,75871085;4,471013297;ARMENIA;PROV OBRA-MALL COMERCIAL-IRAKA;101-23-;PARTICULAR;C-0427;39554034
39644471;CARN0843;5;RS;-75,68566063;4,479276838;CALARCÁ;VDA LA BELLA FCA LA CRISTALINA;205-24-;EDEQ;S-935;30636823
39648591;CARN0844;25;RT;-75,63722255;4,520901203;CALARCÁ;LOTE EL REFUGIO 2 SEC LA PRIMAVERA;205-23-;EDEQ;S-961;30852233
39281033;CAUN0356;45;RST;-75,64266671;4,52801468;CALARCÁ;CRA 26 CALLE 35 ESQU.;208-23-;EDEQ;S-266;31194232
39659291;ARUQ1543;112,5;RST;-75,69286452;4,52398225;ARMENIA;BA LAS ACACIAS MZ 20 CS 1;110-26-;EDEQ;S-1064;30664712
39659307;GERQ0067;15;RST;-75,76787886;4,234840123;GÉNOVA;VR CEDRAL ALTO FC EL JANEIRO;206-24-;EDEQ;S-831;31006751
39659382;CARQ0308;5;RN;-75,67518431;4,466863193;CALARCÁ;FCA LAS MARGARITAS - VDA Q.NEGRA ;205-24-;EDEQ;S-2020;30636821
39659355;CAUQ0169;112,5;RST;-75,63877167;4,526583975;CALARCÁ;CL 36 19 65;208-24-;EDEQ;S-294;30679636
46239195;SARN0380;5;RN;-75,61141115;4,576597783;SALENTO;VDA PALOGRANDE FCA EL PORVENIR;307-25-;EDEQ;S-2426;46238235
39977224;CARN0847;37,5;RT;-75,63709386;4,522063912;CALARCÁ;LOTE EL REFUGIO 2 SEC LA PRIMAVERA;205-23-;EDEQ;S-961;30852233
46257217;QURN0622;10;RT;-75,80988543;4,613612878;QUIMBAYA;VR KERMAN FC SALAMANCA;304-27-;EDEQ;S-503;30888667
39928544;TERP0143;15;RST;-75,8366971;4,436084993;LA TEBAIDA;VR LA POPA K-38 FC VL ADRIANA;101-25-;EDEQ;S-1908;31133871
39837476;QURP0502;15;RST;-75,70332403;4,624888147;FILANDIA;VR VIGILANTE B. FC LA GIRALDA;303-26-;EDEQ;S-570;46247065
43167689;CIRN0526;25;RT;-75,67272392;4,56624619;CIRCASIA;CONJUNTO RESIDENCIAL LA PENINSULA;303-25-;PARTICULAR;S-2453;46898238
37111922;CARP0668;5;ST;-75,71114988;4,458840024;CALARCÁ;VR ALBANIA FCA CAMPO ALEGRE;205-23-;EDEQ;C-0336;30852196
37111102;CARP0574;15;RST;-75,72667451;4,429830313;CALARCÁ;VDA CALLE LARGA FCA EL DANUBIO;206-25-;EDEQ;S-2292;30919693
37111275;ARRP0680;5;RT;-75,71473386;4,484201942;ARMENIA;VR MARMATO FC ESTRELLA;205-22-;EDEQ;S-1527;30689135
39900420;MORN0686;150;RST;-75,84228011;4,514840966;MONTENEGRO;VR BUENOS AIRES FC LA CABAÑA;111-24-;EDEQ;C-0243;30748665
39282135;PIRP0093;15;RST;-75,76797419;4,328897418;PIJAO;VR LA MARIA FC ALTA FLOR;206-24-;EDEQ;S-1542;43238620
39946843;SARN0371;10;ST;-75,55763009;4,639887774;SALENTO;VDA LA PLAYA FCA MARQUEZA;307-22-;EDEQ;R-056;31239858
39282169;MORP0303;15;RST;-75,83575131;4,510675434;MONTENEGRO;VR BUENOS AIRES FC LA TOLDA;111-24-;EDEQ;S-623;30748672
39282010;TERP0399;5;ST;-75,8397645;4,435409369;LA TEBAIDA;VRKILOMETRO-38 FCA V.PAOLISA;101-25-;EDEQ;S-1908;31133871
30641658;CIRQ0139;5;RT;-75,67867954;4,598435384;CIRCASIA;VR BARCELONA BAJA FC BUENOS AIRES;303-27-;EDEQ;SR-0014;30641611
39282129;MORP0278;15;RST;-75,80595835;4,514949752;MONTENEGRO;VR PUEBLO TAPAO FC LA PERLA;111-24-;EDEQ;C-0244;30748660
39287929;MORQ0264;5;TN;-75,78339073;4,518184007;MONTENEGRO;VR PUEBLO TAPADO FC LA MANUELITA;316-22;EDEQ;S-628;39815447
30766427;ARRP0425;75;RST;-75,76215272;4,458439427;ARMENIA;NUEVO NAZARETH VDA EL EDEN;205-25-;PARTICULAR;S-1396;30766355
39290538;BURP0113;15;RST;-75,72861366;4,401570977;BUENAVISTA;VDA RIO VERDE FCA LA MACARENA;206-22-;EDEQ;S-1264;31154547
31019182;FIRQ0079;37,5;RT;-75,67371941;4,653876678;FILANDIA;VR LA CAUCHERA FC LA ALEGRIA;304-23-;EDEQ;C-0525;31313561
39289385;SARQ0178;15;RST;-75,62137285;4,581698842;SALENTO;VR P GRAND FC SAN JOSE;307-25-;EDEQ;S-1974;30763351
39288964;CAUN0366;150;RST;-75,65504915;4,515679526;CALARCÁ;CRA 36 CLL 15 LOTE 24;208-25-;PARTICULAR;C-0696;39767231
39289029;MORN0752;75;RST;-75,77514767;4,52806845;MONTENEGRO;HOTEL SANTA LUCIA  VIA MONTENEGRO  TAPAO;316-22;PARTICULAR;S-691;30709671
39288709;MORP0348;15;RST;-75,8041512;4,50876621;MONTENEGRO;VR PLATANILLAL FC LA ALBORADA;101-26-;EDEQ;S-752;30986886
39288191;SARN0358;5;TN;-75,6047469;4,571790432;SALENTO;VDA EL CASTILLO FCA LAS BRISAS;208-26-;EDEQ;S-997;31015415
39288265;ARRP0134;5;RN;-75,74487509;4,487529591;LA TEBAIDA;Km 7 VDA MURILLO VIA AL EDEN;101-23-;EDEQ;C-0708;39593448
39287932;ARRP0006;15;RST;-75,71210235;4,511833137;ARMENIA;FC LA BELLA VDA PTO ESPEJO;111-25-;EDEQ;C-0275;30755290
39287924;ARUQ1351;45;RST;-75,69248724;4,530032327;ARMENIA;BA PLACER MZ F CS 99;110-23-;EDEQ;C-0050;31109929
39455198;TERQ0030;15;RT;-75,79880898;4,464441966;LA TEBAIDA;VR PADILLA FC LAS BRISAS;101-26-;EDEQ;S-706;30986923
39844148;ARUP1508;112,5;RST;-75,69040843;4,508594241;ARMENIA;CL 51  10 61 BODEGA 5;110-24-;EDEQ;S-1591;31099146
40221911;ARUP0638;15;RST;-75,68603114;4,540214821;ARMENIA;CENTRO DE SALUD LA CLARITA;114-22-;EDEQ;C-0309;30940297
40252998;CIRN0525;15;RT;-75,67734078;4,606651857;CIRCASIA;VDA BARCELONA ALTA FCA LA PALMA;307-23-;PARTICULAR;S-746;31173544
39850412;SARN0369;5;RS;-75,57622791;4,600279323;SALENTO;VDA NAVARCO  ALTO FCA EL JARDIN;307-25-;EDEQ;S-2442;46718896
39288393;QURP0577;75;RST;-75,82949692;4,603616791;QUIMBAYA;VR PALERMO AVICOLA LA CASCADA;303-26-;PARTICULAR;S-1973;30772992
39287912;FIRP0003;5;TN;-75,72708868;4,631257912;FILANDIA;VR PARAISO FC LA ZULIA;304-23-;EDEQ;S-859;40066470
39287923;ARUQ0662;30;RST;-75,67866623;4,535286149;ARMENIA;CL 24  21 24;109-28-;EDEQ;C-0503;31337029
39588925;CAUQ0166;25;RN;-75,63929824;4,529066584;CALARCÁ;CL 22 38 00;208-24-;EDEQ;C-0709;39590363
39444318;PIRN0254;5;RT;-75,72169461;4,296335255;PIJAO;FCA BETEL;206-23-;EDEQ;S-1604;30994835
46385845;ARUN2708;112,5;RST;-75,70561287;4,541618964;ARMENIA;CERROS DEL VIENTO T1;114-23-;PARTICULAR;S-2361;39979067
43220905;PIRQ0020;30;RST;-75,71421108;4,316064749;PIJAO;VR LA PLAYA FC EL VAIVEN;206-23-;EDEQ;R-044;30994887
43253012;FIRN0435;15;RS;-75,72854404;4,617441741;FILANDIA;FCA SAN ROQUE CASA 2;304-23-;PARTICULAR;S-589;40066481
37111183;ARUN2363;15;RST;-75,66932236;4,541363329;ARMENIA;CLL 8 CRAS 19 Y 20 TALLER TOYOTA;109-25-;EDEQ;S-1521;40006095
40259108;BURQ0011;5;RT;-75,72745566;4,389429988;BUENAVISTA;FCA SINAI VDA LOS BALSOS;206-23-;EDEQ;S-666;30994854
39978490;TERN0504;15;RST;-75,76863784;4,431327534;LA TEBAIDA;LT 6 VDA ARGENTINA;205-25-;PARTICULAR;C-0299;30766327
40059081;FIRN0433;5;RT;-75,70616504;4,711700659;FILANDIA;FCA EL CAIMO VDA LA INDIA;307-24-;EDEQ;S-1884;30908659
40059547;FIRN0432;10;TR;-75,64455274;4,698843175;FILANDIA;CONDOMINIO LUCITANIA LT 12 - FILANDIA;307-24-;EDEQ;S-2393;39707120
39858506;TERP0166;45;RST;-75,84606222;4,442257698;LA TEBAIDA;VR LA HERRADURA FC ATENEA;101-25-;EDEQ;S-644;31133875
39458780;QURN0662;5;RN;-75,7653808;4,65053284;QUIMBAYA;FCA BESTREGA VDA ARAUCA;304-26-;EDEQ;S-2078;30692241
37111211;ARRP0769;5;RS;-75,74346611;4,489563873;LA TEBAIDA;VR MURILLO CABA?AS LA MARIA;101-23-;EDEQ;C-0021;31058768
46385896;ARUN2709;75;RST;-75,70704578;4,54236146;ARMENIA;CERROS DEL VIENTO T4;114-23-;PARTICULAR;S-2445;46386794
46385926;ARUN2710;75;RST;-75,70708854;4,542561343;ARMENIA;CERROS DEL VIENTO T5;114-23-;PARTICULAR;S-2445;46386794
39411801;FIRQ0145;5;RS;-75,68573102;4,671025002;FILANDIA;VR SANTA TERESA FC LA GRACIELA;304-22-;EDEQ;S-1915;31204857
39412057;MORP0501;15;RST;-75,8027599;4,564777513;MONTENEGRO;FCA LA BELLA VDA EL GIGANTE;303-23-;EDEQ;S-686;31319875
30766466;TERP0026;30;RST;-75,7675202;4,422935447;LA TEBAIDA;FC BALI O JAVA;205-25-;PARTICULAR;S-365;39758918
39656480;ARUQ1726;75;RST;-75,69956085;4,523789852;ARMENIA;BA CALIMA MZ 16 CS 6;110-26-;EDEQ;S-949;30664711
30689208;ARRP0735;25;RT;-75,70871227;4,494670461;ARMENIA;VR SAN PEDRO FCA LA ESTRELLA;205-22-;PARTICULAR;S-430;46208913
